Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Year,Month
2000-12-01,20.8,26.64,20.66,25.45,200159000.0,0.0,0.0,JPM,2000,Dec
2001-01-01,25.0,32.11,24.19,30.8,247102800.0,0.0,0.0,JPM,2001,Jan
2001-02-01,31.03,31.51,25.56,26.33,154547500.0,0.0,0.0,JPM,2001,Feb
2001-03-01,25.73,28.89,21.21,25.34,204257600.0,0.0,0.0,JPM,2001,Mar
2001-04-01,25.11,28.44,22.13,27.07,167154700.0,0.0,0.0,JPM,2001,Apr
2001-05-01,27.59,28.79,26.37,27.96,149322200.0,0.0,0.0,JPM,2001,May
2001-06-01,28.02,28.4,24.18,25.3,157719500.0,0.0,0.0,JPM,2001,Jun
2001-07-01,25.49,26.18,23.1,24.63,131864500.0,0.0,0.0,JPM,2001,Jul
2001-08-01,24.76,25.36,22.42,22.58,135245300.0,0.0,0.0,JPM,2001,Aug
2001-09-01,22.64,23.32,16.65,19.57,175067700.0,0.0,0.0,JPM,2001,Sep
2001-10-01,19.66,21.83,18.26,20.27,205630000.0,0.0,0.0,JPM,2001,Oct
2001-11-01,20.89,23.33,20.35,21.83,150775700.0,0.0,0.0,JPM,2001,Nov
2001-12-01,21.36,23.7,20.27,21.04,180358700.0,0.0,0.0,JPM,2001,Dec
2002-01-01,21.12,22.97,17.6,19.71,225098800.0,0.0,0.0,JPM,2002,Jan
2002-02-01,19.89,19.89,15.6,17.09,285216300.0,0.0,0.0,JPM,2002,Feb
2002-03-01,17.29,21.32,16.97,20.83,211048800.0,0.0,0.0,JPM,2002,Mar
2002-04-01,20.83,22.17,19.34,20.51,189633900.0,0.0,0.0,JPM,2002,Apr
2002-05-01,20.91,22.86,20.2,21.21,150664200.0,0.0,0.0,JPM,2002,May
2002-06-01,21.24,21.39,17.79,20.01,177232000.0,0.0,0.0,JPM,2002,Jun
2002-07-01,19.82,19.87,10.75,14.73,350909700.0,0.0,0.0,JPM,2002,Jul
2002-08-01,14.89,16.34,13.18,15.75,247681100.0,0.0,0.0,JPM,2002,Aug
2002-09-01,15.3,15.36,10.65,11.33,308858000.0,0.0,0.0,JPM,2002,Sep
